"season","mode","route_or_line","daytype","direction","timeperiod_id","avg_weekday","precision","source"
"Fall 2018","Bus","26","Weekday",0,8,"10.9000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,5,"59.5000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",0,0,"23.2200000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,2,"149.8400000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,1,"42.4000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,6,"140.4200000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,7,"30.9000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,3,"153.0400000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,4,"207.3200000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,8,"4.3000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,5,"243.0000000000","High","APC Composite Day"
"Fall 2018","Bus","26","Weekday",1,0,"42.8100000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,2,"70.5900000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,1,"22.9000000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,6,"12.7000000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,3,"95.4400000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,4,"60.0800000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,5,"75.4800000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",0,0,"8.2000000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,2,"71.1600000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,1,"27.7000000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,6,"18.6000000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,3,"101.9200000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,4,"64.6900000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,5,"50.6800000000","High","APC Composite Day"
"Fall 2018","Bus","27","Weekday",1,0,"50.6000000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,2,"505.8300000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,1,"346.2000000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,6,"818.0200000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,7,"237.2400000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,3,"1492.9200000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,4,"1440.7600000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,8,"99.4800000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,5,"1177.6700000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",0,0,"46.2000000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,2,"940.1600000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,1,"534.7800000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,6,"493.9200000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,7,"91.9800000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,3,"1770.8600000000","High","APC Composite Day"
"Fall 2018","Bus","28","Weekday",1,4,"1096.7200000000","High","APC Composite Day"
